bin_id,bin_text,bin_impressions
4611679522356057911,"POLYGON ((6.8125 53.437500005960466, 6.8375 53.437500005960466, 6.8375 53.462500005960464, 6.8125 53.462500005960464, 6.8125 53.437500005960466))",44
4611679525393058402,"POLYGON ((6.612499997019768 53.4125, 6.637499997019768 53.4125, 6.637499997019768 53.4375, 6.612499997019768 53.4375, 6.612499997019768 53.4125))",3
4611679528430058903,"POLYGON ((6.6624999940395355 53.38750000149012, 6.687499994039536 53.38750000149012, 6.687499994039536 53.412500001490116, 6.6624999940395355 53.412500001490116, 6.6624999940395355 53.38750000149012))",1475
4611679531467059349,"POLYGON ((5.337499998509884 53.362500002980234, 5.362499998509884 53.362500002980234, 5.362499998509884 53.38750000298023, 5.337499998509884 53.38750000298023, 5.337499998509884 53.362500002980234))",60
4611679531467059378,"POLYGON ((6.0625 53.362500002980234, 6.0875 53.362500002980234, 6.0875 53.38750000298023, 6.0625 53.38750000298023, 6.0625 53.362500002980234))",223
4611679534504059899,"POLYGON ((6.612499997019768 53.33750000447035, 6.637499997019768 53.33750000447035, 6.637499997019768 53.36250000447035, 6.612499997019768 53.36250000447035, 6.612499997019768 53.33750000447035))",142
4611679534504059908,"POLYGON ((6.837499998509884 53.33750000447035, 6.862499998509884 53.33750000447035, 6.862499998509884 53.36250000447035, 6.837499998509884 53.36250000447035, 6.837499998509884 53.33750000447035))",149
4611679537541060396,"POLYGON ((6.5625 53.312500005960466, 6.5875 53.312500005960466, 6.5875 53.337500005960464, 6.5625 53.337500005960464, 6.5625 53.312500005960466))",223
4611679540578060874,"POLYGON ((6.0374999940395355 53.2875, 6.062499994039536 53.2875, 6.062499994039536 53.3125, 6.0374999940395355 53.3125, 6.0374999940395355 53.2875))",96
4611679540578060907,"POLYGON ((6.862499997019768 53.2875, 6.887499997019768 53.2875, 6.887499997019768 53.3125, 6.862499997019768 53.3125, 6.862499997019768 53.2875))",154
4611679543615061364,"POLYGON ((5.8125 53.26250000149012, 5.8375 53.26250000149012, 5.8375 53.287500001490116, 5.8125 53.287500001490116, 5.8125 53.26250000149012))",34
4611679543615061403,"POLYGON ((6.7874999940395355 53.26250000149012, 6.812499994039536 53.26250000149012, 6.812499994039536 53.287500001490116, 6.7874999940395355 53.287500001490116, 6.7874999940395355 53.26250000149012))",10
4611679546652061886,"POLYGON ((6.387499995529652 53.237500002980234, 6.412499995529652 53.237500002980234, 6.412499995529652 53.26250000298023, 6.387499995529652 53.26250000298023, 6.387499995529652 53.237500002980234))",1897
4611679549689062373,"POLYGON ((6.087499998509884 53.21250000447035, 6.112499998509884 53.21250000447035, 6.112499998509884 53.23750000447035, 6.087499998509884 53.23750000447035, 6.087499998509884 53.21250000447035))",215
4611679552726062862,"POLYGON ((5.837499998509884 53.187500005960466, 5.862499998509884 53.187500005960466, 5.862499998509884 53.212500005960464, 5.837499998509884 53.212500005960464, 5.837499998509884 53.187500005960466))",1519
4611679552726062897,"POLYGON ((6.712499998509884 53.187500005960466, 6.737499998509884 53.187500005960466, 6.737499998509884 53.212500005960464, 6.712499998509884 53.212500005960464, 6.712499998509884 53.187500005960466))",284
4611679552726062928,"POLYGON ((7.487499997019768 53.187500005960466, 7.512499997019768 53.187500005960466, 7.512499997019768 53.212500005960464, 7.487499997019768 53.212500005960464, 7.487499997019768 53.187500005960466))",7
4611679555763063349,"POLYGON ((5.5374999940395355 53.1625, 5.562499994039536 53.1625, 5.562499994039536 53.1875, 5.5374999940395355 53.1875, 5.5374999940395355 53.1625))",610
4611679555763063382,"POLYGON ((6.362499997019768 53.1625, 6.387499997019768 53.1625, 6.387499997019768 53.1875, 6.362499997019768 53.1875, 6.362499997019768 53.1625))",3074
4611679555763063415,"POLYGON ((7.1875 53.1625, 7.2125 53.1625, 7.2125 53.1875, 7.1875 53.1875, 7.1875 53.1625))",169
4611679558800063901,"POLYGON ((6.862499997019768 53.13750000149012, 6.887499997019768 53.13750000149012, 6.887499997019768 53.162500001490116, 6.862499997019768 53.162500001490116, 6.862499997019768 53.13750000149012))",342
4611679561837064317,"POLYGON ((4.7874999940395355 53.112500002980234, 4.812499994039536 53.112500002980234, 4.812499994039536 53.13750000298023, 4.7874999940395355 53.13750000298023, 4.7874999940395355 53.112500002980234))",60
4611679561837064346,"POLYGON ((5.512499995529652 53.112500002980234, 5.537499995529652 53.112500002980234, 5.537499995529652 53.13750000298023, 5.512499995529652 53.13750000298023, 5.512499995529652 53.112500002980234))",87
4611679561837064379,"POLYGON ((6.337499998509884 53.112500002980234, 6.362499998509884 53.112500002980234, 6.362499998509884 53.13750000298023, 6.337499998509884 53.13750000298023, 6.337499998509884 53.112500002980234))",198
